Bokmål,Nynorsk,Engelsk,Merknad
én-til-én,éin-til-éin,one-to-one,"Synonym: injektiv"
én-til-én-korrespondanse,éin-til-éin-korrespondanse,one-to-one correspondence,"Synonym: bijeksjon"
endelig algebraisk utvidelse,endeleg algebraisk utviding,finite algebraic extension,
endelig gruppe,endeleg gruppe,finite group,
endelig kropp,endeleg kropp,finite field,
endelig lengde,endeleg lengd,finite length,
endelig representasjonstype,endeleg representasjonstype,finite representation type,
endeligdimensjonal,endelegdimensjonal,finite-dimensional,
endeligdimensjonalt vektorrom,endelegdimensjonalt vektorrom,finite-dimensional vector space,
endeliggenerert,endeleggenerert,finitely generated,
endomorfi,endomorfi,endomorphism,
endomorfiring,endomorfiring,endomorphism ring,
endringsrate,endringsrate,rate of change,
enhet,eining,unit,
enhetsgruppe,einingsgruppe,group of units,
enhetspartisjon,einingspartisjon,partition of unity,
enhetsrot,einingsrot,root of unity,
enhetssirkel,einingssirkel,unit circle,
enhetsvektor,einingsvektor,unit vector,
enkeltsammenhengende,enkeltsamanhengande,simply connected,
ensidig test,einsidig test,one sided test/single tailed test,
ensidig,einsidig,one-sided,
entydig faktorisering,eintydig faktorisering,unique factorization,
entydig faktoriseringsområde,eintydig faktoriseringsområde,unique factorization domain,"Entydig faktoriseringsområde forkortes ofte til UFD."
entydig,eintydig,unique,
epimorfi,epimorfi,epimorphism,
ergodeteori,ergodeteori,ergodic theory,
essensiell epimorfi,essensiell epimorfi,essential epimorphism,
essensiell monomorfi,essensiell monomorfi,essential monomorphism,
essensiell undermodul,essensiell undermodul,essential submodule,
essensielt surjektiv,essensielt surjektiv,essentially surjective,
estimat,estimat,estimate,
estimator,estimator,estimator,
ettpunktskompaktifisering,eittpunktskompaktifisering,one-point compactification,
ettutvalgstest,eittutvalstest,one-sample test,
euklidsk område,euklidsk område,Euclidean domain,
euklidsk,euklidsk,Euclidean,
evalueringshomomorfi,evalueringshomomorfi,evaluation homomorphism,
F-fordeling,F-fordeling,F-distribution/variance ratio distribution,
F-test,F-test,F-test/variance ratio test,
faktor,faktor,factor,
faktorgruppe,faktorgruppe,factor group,
faktormodul,faktormodul,factor module,
faktorring,faktorring,factor ring,
fakultet,fakultet,factorial,
fangens dilemma,fangedilemmaet,prisoner's dilemma,
fase,fase,phase,
feil,feil,error,
feilmargin/feiltoleranse,feilmargin/feiltoleranse,margin of error,
felt,felt,field,"Merk at oversettelsen av <i>field</i> er avhengig av kontekst. Oversettelsen felt brukes for eksempel i forbindelse med vektorfelt."
femlemmaet,femlemmaet,five lemma,
femtegradslikning,femtegradslikning,quintic equation,
Fermats siste sats,Fermats siste sats,Fermat's Last Theorem,
fikspunkt,fikspunkt,fixed point,
filter,filter,filter,
filtrering,filtrering,filtration,
finere topologi,finare topologi,finer topology,
Fittings lemma,Fittings lemma,Fitting's lemma,
flat modul,flat modul,flat module,
fluks,fluks,flux,
flyt,flyt,flow,
folding/konvolusjon,falding/konvolusjon,convolution,
foldingsintegral/konvolusjonsintegral,faldingsintegral/konvolusjonsintegral,convolution integral,
forbindelsesaksiom,forbindelsesaksiom,incidence axiom,
forbindelsesgeometri,forbindelsesgeometri,incidence geometry,
fordeling,fordeling,distribution,
forfining,forfining,refinement,
forhold,forhold,ratio,
forholdstesten,forholdstesten,ratio test,
forkastning,forkasting,rejection,
forkastningsnivå/signifikansnivå,forkastingsnivå/signifikansnivå,level of significance/significance level,
forkastningsområde,forkastingsområde,critical region,
formel,formel,formula,
formodning,førehandstru,conjecture,
fornyelsesteoremet,fornyingsteoremet,renewal theorem,
fornyelsesteori,fornyingsteori,renewal theory,
forsøksplan,forsøksplan,design,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
fortegn,forteikn,sign,
forventning,forventing,expectation,
